Code,Name,Country,Exchange,Currency,Type,Isin
VIAO,Via Optronics Ag,USA,NYSE,USD,Common Stock,US91823Y1091
VICE,AdvisorShares Vice ETF,USA,NYSE ARCA,USD,ETF,US00768Y5454
VICI,VICI Properties Inc,USA,NYSE,USD,Common Stock,US9256521090
VIDI,Vident International Equity Fund,USA,NYSE ARCA,USD,ETF,US26922A4040
VIG,Vanguard Dividend Appreciation Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9219088443
VIIX,VelocityShares VIX Short-Term ETN,USA,NYSE,USD,ETF,US22542D2669
VINE,Fresh Grapes LLC,USA,NYSE MKT,USD,Common Stock,US35804X1019
VIOG,Vanguard S&P Small-Cap 600 Growth Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9219327940
VIOO,Vanguard S&P Small-Cap 600 Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9219328286
VIOV,Vanguard S&P Small-Cap 600 Value Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9219327783
VIPS,Vipshop Holdings Limited,USA,NYSE,USD,Common Stock,US92763W1036
VIS,Vanguard Industrials Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US92204A6038
VIST,Vista Oil Gas ADR,USA,NYSE,USD,Common Stock,US92837L1098
VIV,Telefonica Brasil SA ADR,USA,NYSE,USD,Common Stock,US87936R2058
VKI,Invesco Advantage MIT II,USA,NYSE MKT,USD,Common Stock,US46132E1038
VKQ,Invesco Municipal Trust,USA,NYSE,USD,Common Stock,US46131J1034
VLD,Velo3D Inc,USA,NYSE,USD,Common Stock,US92259N1046
VLD-WT,Velo3D Inc.,USA,NYSE,USD,Common Stock,
VLN,Valens,USA,NYSE,USD,Common Stock,IL0011796880
VLO,Valero Energy Corporation,USA,NYSE,USD,Common Stock,US91913Y1001
VLRS,Volaris,USA,NYSE,USD,Common Stock,US21240E1055
VLT,Invesco High Income Trust II,USA,NYSE,USD,Common Stock,US46131F1012
VLTO,Veralto Corporation,USA,NYSE,USD,Common Stock,
VLTO-WI,Veralto Corporation,USA,NYSE,USD,Common Stock,
VLU,SPDR® S&P 1500 Value Tilt ETF,USA,NYSE ARCA,USD,ETF,US78464A1280
VMC,Vulcan Materials Company,USA,NYSE,USD,Common Stock,US9291601097
VMI,Valmont Industries Inc,USA,NYSE,USD,Common Stock,US9202531011
VMO,Invesco Municipal Opportunity Trust,USA,NYSE,USD,Common Stock,US46132C1071
VMW,VMware Inc,USA,NYSE,USD,Common Stock,US9285634021
VNAM,Global X MSCI Vietnam ETF,USA,NYSE ARCA,USD,ETF,US37960A8835
VNCE,Vince Holding Corp,USA,NYSE,USD,Common Stock,US92719W2070
VNLA,Janus Henderson Short Duration Income ETF,USA,NYSE ARCA,USD,ETF,US47103U8861
VNMC,Natixis ETF Trust II - Natixis Vaughan Nelson Mid Cap ETF,USA,NYSE ARCA,USD,ETF,US63875W3079
VNO,Vornado Realty Trust,USA,NYSE,USD,Common Stock,US9290421091
VNO-PL,Vornado Realty Trust,USA,NYSE,USD,Preferred Stock,
VNO-PM,Vornado Realty Trust,USA,NYSE,USD,Preferred Stock,
VNO-PN,Vornado Realty Trust 5.25% Series,USA,NYSE,USD,Preferred Stock,
VNQ,Vanguard Real Estate Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9229085538
VNRX,Volitionrx Ltd,USA,NYSE MKT,USD,Common Stock,US9286611077
VNSE,Natixis ETF Trust II - Natixis Vaughan Nelson Select ETF,USA,NYSE ARCA,USD,ETF,US63875W2089
VNT,Vontier Corp,USA,NYSE,USD,Common Stock,US9288811014
VO,Vanguard Mid-Cap Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9229086296
VOC,VOC Energy Trust,USA,NYSE,USD,Common Stock,US91829B1035
VOE,Vanguard Mid-Cap Value Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9229085124
VOO,Vanguard S&P 500 ETF,USA,NYSE ARCA,USD,ETF,US9229083632
VOOG,Vanguard S&P 500 Growth Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9219325050
VOOV,Vanguard S&P 500 Value Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9219327031
VOT,Vanguard Mid-Cap Growth Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9229085389
VOX,Vanguard Communication Services Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US92204A8844
VOYA,Voya Financial Inc,USA,NYSE,USD,Common Stock,US9290891004
VOYA-PB,Voya Financial Inc,USA,NYSE,USD,Preferred Stock,
VPC,Virtus Private Credit ETF,USA,NYSE ARCA,USD,ETF,US26923G7988
VPG,Vishay Precision Group Inc,USA,NYSE,USD,Common Stock,US92835K1034
VPL,Vanguard FTSE Pacific Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9220428661
VPU,Vanguard Utilities Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US92204A8760
VPV,Invesco Pennsylvania Value Municipal Income Trust,USA,NYSE,USD,Common Stock,US46132K1097
VRAI,Virtus Real Asset Income ETF,USA,NYSE ARCA,USD,ETF,US26923G7806
VRE,Veris Residential Inc,USA,NYSE,USD,Common Stock,US5544891048
VRP,Invesco Variable Rate Preferred ETF,USA,NYSE ARCA,USD,ETF,US46138G8704
VRT,Vertiv Holdings Co,USA,NYSE,USD,Common Stock,US92537N1081
VRTV,Veritiv Cor,USA,NYSE,USD,Common Stock,US9234541020
VSCO,Victoria's Secret & Co,USA,NYSE,USD,Common Stock,US9264001028
VSH,Vishay Intertechnology Inc,USA,NYSE,USD,Common Stock,US9282981086
VSLU,ETF Opportunities Trust - Applied Finance Valuation Large Cap ETF,USA,NYSE ARCA,USD,ETF,US26923N4051
VSS,Vanguard FTSE All-World ex-US Small-Cap Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9220427184
VST,Vistra Energy Corp,USA,NYSE,USD,Common Stock,US92840M1027
VSTO,Vista Outdoor Inc,USA,NYSE,USD,Common Stock,US9283771007
VSTS,Vestis Corporation,USA,NYSE,USD,Common Stock,
VSTS-WI,Aramark Uniform & Career Apparel LLC,USA,NYSE,USD,Common Stock,
VT,Vanguard Total World Stock Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9220427424
VTAK,Catheter Precision Inc.,USA,NYSE MKT,USD,Common Stock,
VTEB,Vanguard Tax-Exempt Bond Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9229077469
VTES,Vanguard Short-Term Tax-Exempt Bond ETF Shares,USA,NYSE ARCA,USD,ETF,US9219358705
VTEX,VTEX,USA,NYSE,USD,Common Stock,KYG9470A1022
VTI,Vanguard Total Stock Market Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9229087690
VTLE,Vital Energy Inc.,USA,NYSE,USD,Common Stock,US5168062058
VTMX,CorporaciÃ³n Inmobiliaria Vesta S.A.B de C.V.,USA,NYSE,USD,Common Stock,
VTN,Invesco Trust For Inv Grade NY Munis,USA,NYSE,USD,Common Stock,US46131T1016
VTOL,Bristow Group Inc,USA,NYSE,USD,Common Stock,US11040G1031
VTR,Ventas Inc,USA,NYSE,USD,Common Stock,US92276F1003
VTS,Vitesse Energy Inc,USA,NYSE,USD,Common Stock,
VTV,Vanguard Value Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9229087443
VUG,Vanguard Growth Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9229087369
VUSE,Vident Core U.S. Equity Fund,USA,NYSE ARCA,USD,ETF,US26922A5039
VV,Vanguard Large-Cap Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9229086379
VVI,Viad Corp,USA,NYSE,USD,Common Stock,US92552R4065
VVR,Invesco Senior Income Trust,USA,NYSE,USD,FUND,US46131H1077
VVV,Valvoline Inc,USA,NYSE,USD,Common Stock,US92047W1018
VVX,V2X Inc,USA,NYSE,USD,Common Stock,US92242T1016
VWI,Advisor Managed Portfolios,USA,NYSE ARCA,USD,Common Stock,
VWO,Vanguard FTSE Emerging Markets Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9220428588
VXF,Vanguard Extended Market Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9229086528
VYM,Vanguard High Dividend Yield Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9219464065
VYX,NCR Voyix Corporation,USA,NYSE,USD,Common Stock,
VYX-W,VYX-W,USA,NYSE,USD,Common Stock,
VZ,Verizon Communications Inc,USA,NYSE,USD,Common Stock,US92343V1044
VZIO,Vizio Holding Corp,USA,NYSE,USD,Common Stock,US92858V1017
VZLA,Vizsla Resources Corp,USA,NYSE MKT,USD,Common Stock,CA92859G2027
W,Wayfair Inc,USA,NYSE,USD,Common Stock,US94419L1017
WAB,Westinghouse Air Brake Technologies Corp,USA,NYSE,USD,Common Stock,US9297401088
WAL,Western Alliance Bancorporation,USA,NYSE,USD,Common Stock,US9576381092
WANT,Direxion Daily Cnsmr Discret Bull 3XShrs,USA,NYSE ARCA,USD,ETF,US25459Y8012
WAT,Waters Corporation,USA,NYSE,USD,Common Stock,US9418481035
WBIF,WBI BullBear Value 3000 ETF,USA,NYSE ARCA,USD,ETF,US00400R6018
WBIG,WBI BullBear Yield 3000 ETF,USA,NYSE ARCA,USD,ETF,US00400R7008
WBIL,WBI BullBear Quality 3000 ETF,USA,NYSE ARCA,USD,ETF,US00400R8097
WBIY,WBI Power Factor® High Dividend ETF,USA,NYSE ARCA,USD,ETF,US00400R8584
WBS,Webster Financial Corporation,USA,NYSE,USD,Common Stock,US9478901096
WBS-PF,Webster Financial Corporation,USA,NYSE,USD,Preferred Stock,
WBS-PG,Webster Financial Corporation,USA,NYSE,USD,Preferred Stock,
WBX,Wallbox NV,USA,NYSE,USD,Common Stock,NL0015000M91
WCC,WESCO International Inc,USA,NYSE,USD,Common Stock,US95082P1057
WCC-PA,WESCO International Inc,USA,NYSE,USD,Preferred Stock,
WCEO,Hypatia Women Ceo ETF,USA,NYSE ARCA,USD,ETF,US90214Q5760
WCN,Waste Connections Inc,USA,NYSE,USD,Common Stock,CA94106B1013
WD,Walker & Dunlop Inc,USA,NYSE,USD,Common Stock,US93148P1021
WDH,Waterdrop Inc ADR,USA,NYSE,USD,Common Stock,US94132V1052
WDI,Western Asset Diversified Income Fund,USA,NYSE,USD,Common Stock,
WDIV,SPDR® S&P Global Dividend ETF,USA,NYSE ARCA,USD,ETF,US78463X4593
WDS,Woodside Energy Group Ltd,USA,NYSE,USD,Common Stock,US9802283088
WE,WeWork Inc,USA,NYSE,USD,Common Stock,US96209A1043
WEA,Western Asset Premier Bond Closed Fund,USA,NYSE,USD,FUND,US9576641057
WEAT,Teucrium Wheat,USA,NYSE ARCA,USD,ETF,US88166A5083
WEAV,Weave Communications Inc,USA,NYSE,USD,Common Stock,US94724R1086
WEBL,Direxion Daily Dow Jones Internet Bull 3X Shares,USA,NYSE ARCA,USD,ETF,US25460E3642
WEBS,Direxion Daily Dow Jones Internet Bear 3X Shares,USA,NYSE ARCA,USD,ETF,US25460G6668
WEC,WEC Energy Group Inc,USA,NYSE,USD,Common Stock,US92939U1060
WEIX,Dynamic Short Short-Term Volatility Futures ETF,USA,NYSE ARCA,USD,ETF,US26800L1008
WEL,Integrated Wellness Acquisition Corp,USA,NYSE,USD,Common Stock,KYG4828B1005
WEL-UN,Integrated Wellness Acquisition Corp,USA,NYSE,USD,Common Stock,
WELL,Welltower Inc,USA,NYSE,USD,Common Stock,US95040Q1040
WES,Western Midstream Partners LP,USA,NYSE,USD,Common Stock,US9586691035
WEX,Wex Inc,USA,NYSE,USD,Common Stock,US96208T1043
WF,Woori Financial Group Inc,USA,NYSE,USD,Common Stock,US9810641087
WFC,Wells Fargo & Company,USA,NYSE,USD,Common Stock,US9497461015
WFC-PA,Wells Fargo & Company Depositar,USA,NYSE,USD,Preferred Stock,
WFC-PC,Wells Fargo & Company,USA,NYSE,USD,Preferred Stock,
WFC-PL,Wells Fargo & Company,USA,NYSE,USD,Preferred Stock,
WFC-PR,Wells Fargo & Company,USA,NYSE,USD,Preferred Stock,
WFC-PY,Wells Fargo & Company,USA,NYSE,USD,Preferred Stock,
WFC-PZ,Wells Fargo & Company,USA,NYSE,USD,Preferred Stock,
WFG,West Fraser Timber Co Ltd,USA,NYSE,USD,Common Stock,CA9528451052
WFH,Direxion Work From Home ETF,USA,NYSE ARCA,USD,ETF,US25460G7732
WGO,Winnebago Industries Inc,USA,NYSE,USD,Common Stock,US9746371007
WH,Wyndham Hotels & Resorts Inc,USA,NYSE,USD,Common Stock,US98311A1051
WHD,Cactus Inc,USA,NYSE,USD,Common Stock,US1272031071
WHG,Westwood Holdings Group Inc,USA,NYSE,USD,Common Stock,US9617651040
WHR,Whirlpool Corporation,USA,NYSE,USD,Common Stock,US9633201069
WIA,Western Asset/Claymore Infl Linked Securities and Income Closed Fund,USA,NYSE,USD,FUND,US95766Q1067
WINN,Harbor Long-Term Growers ETF,USA,NYSE,USD,ETF,US41151J4067
WIP,SPDR® FTSE International Government Inflation-Protected Bond ETF,USA,NYSE ARCA,USD,ETF,US78464A4904
WIT,Wipro Limited ADR,USA,NYSE,USD,Common Stock,US97651M1099
WIW,Western Asset Claymore Inflation Linked Opportunities and Income Closed Fund,USA,NYSE,USD,FUND,US95766R1041
WK,Workiva Inc,USA,NYSE,USD,Common Stock,US98139A1051
WKC,World Kinect Corporation,USA,NYSE,USD,Common Stock,
WKLY,SoFi Weekly Dividend ETF,USA,NYSE ARCA,USD,ETF,US8863647363
WLK,Westlake Chemical Corporation,USA,NYSE,USD,Common Stock,US9604131022
WLKP,Westlake Chemical Partners LP,USA,NYSE,USD,Common Stock,US9604171036
WLTG,WealthTrust DBS Long Term Growth ETF,USA,NYSE ARCA,USD,ETF,US26923N8011
WLY,John Wiley & Sons,USA,NYSE,USD,Common Stock,US9682232064
WLYB,John Wiley & Sons B,USA,NYSE,USD,Common Stock,US9682233054
WM,Waste Management Inc,USA,NYSE,USD,Common Stock,US94106L1098
WMB,Williams Companies Inc,USA,NYSE,USD,Common Stock,US9694571004
WMC,Western Asset Mortgage Capital,USA,NYSE,USD,Common Stock,US95790D1054
WMK,Weis Markets Inc,USA,NYSE,USD,Common Stock,US9488491047
WMS,Advanced Drainage Systems Inc,USA,NYSE,USD,Common Stock,US00790R1041
WMT,Walmart Inc,USA,NYSE,USD,Common Stock,US9311421039
WNC,Wabash National Corporation,USA,NYSE,USD,Common Stock,US9295661071
WNNR,Andretti Acquisition Corp,USA,NYSE,USD,Common Stock,KYG267351032
WNNR-UN,Andretti Acquisition Corp.,USA,NYSE,USD,Common Stock,
WNS,WNS Holdings Ltd,USA,NYSE,USD,Common Stock,US92932M1018
WOLF,Wolfspeed Inc,USA,NYSE,USD,Common Stock,US9778521024
WOMN,Impact Shares YWCA Women's Empowerment ETF,USA,NYSE ARCA,USD,ETF,US45259A1007
WOR,Worthington Industries Inc,USA,NYSE,USD,Common Stock,US9818111026
WOW,WideOpenWest Inc,USA,NYSE,USD,Common Stock,US96758W1018
WPC,W P Carey Inc,USA,NYSE,USD,Common Stock,US92936U1097
WPC-W,WPC-W,USA,NYSE,USD,Common Stock,
WPM,Wheaton Precious Metals Corp,USA,NYSE,USD,Common Stock,CA9628791027
WPP,WPP PLC ADR,USA,NYSE,USD,Common Stock,US92937A1025
WPS,iShares International Developed Property ETF,USA,NYSE ARCA,USD,ETF,US4642884229
WRAC,Williams Rowland Acquisition Corp,USA,NYSE MKT,USD,Common Stock,US96951B1026
WRB,W. R. Berkley Corp,USA,NYSE,USD,Common Stock,US0844231029
WRB-PE,W. R. Berkley Corporation 5.70% SB DB 2058,USA,NYSE,USD,Preferred Stock,
WRB-PF,W.R. Berkley Corporation 5.10% Subordinated Debentures due 2059,USA,NYSE,USD,Preferred Stock,
WRB-PG,W.R. Berkley Corporation 4.25%,USA,NYSE,USD,Preferred Stock,
WRB-PH,W.R. Berkley Corporation 4.125%,USA,NYSE,USD,Preferred Stock,
WRBY,Warby Parker Inc,USA,NYSE,USD,Common Stock,US93403J1060
WRK,WestRock Co,USA,NYSE,USD,Common Stock,US96145D1054
WRN,Western Copper and Gold Corp,USA,NYSE MKT,USD,Common Stock,CA95805V1085
WSM,Williams-Sonoma Inc,USA,NYSE,USD,Common Stock,US9699041011
WSO,Watsco Inc,USA,NYSE,USD,Common Stock,US9426222009
WSO-B,Watsco Inc,USA,NYSE,USD,Common Stock,US9426221019
WSR,Whitestone REIT,USA,NYSE,USD,Common Stock,US9660842041
WST,West Pharmaceutical Services Inc,USA,NYSE,USD,Common Stock,US9553061055
WT,WisdomTree Inc.,USA,NYSE,USD,Common Stock,
WTI,W&T Offshore Inc,USA,NYSE,USD,Common Stock,US92922P1066
WTID,UBS ETRACS - ProShares Daily 3x Inverse Crude ETN,USA,NYSE ARCA,USD,ETF,US90274E1257
WTIU,UBS ETRACS - ProShares Daily 3x Long Crude ETN,USA,NYSE ARCA,USD,ETF,US90274E1174
WTM,White Mountains Insurance Group Ltd,USA,NYSE,USD,Common Stock,BMG9618E1075
WTMF,WisdomTree Managed Futures Strategy,USA,NYSE ARCA,USD,ETF,US97717W1255
WTRE,WisdomTree New Economy Real Estate ETF,USA,NYSE ARCA,USD,ETF,BMG947871015
WTRG,Essential Utilities Inc,USA,NYSE,USD,Common Stock,US29670G1022
WTS,Watts Water Technologies Inc,USA,NYSE,USD,Common Stock,US9427491025
WTTR,Select Energy Services Inc,USA,NYSE,USD,Common Stock,US81617J3014
WTV,WisdomTree Trust - WisdomTree U.S. Quality Shareholder Yield Fund,USA,NYSE ARCA,USD,ETF,US97717W5470
WU,Western Union Co,USA,NYSE,USD,Common Stock,US9598021098
WUCT,UBS AG London Branch,USA,NYSE ARCA,USD,Common Stock,
WWE,World Wrestling Entertainment Inc,USA,NYSE,USD,Common Stock,US98156Q1085
WWJD,Inspire International ESG ETF,USA,NYSE ARCA,USD,ETF,US66538H4193
WWR,Westwater Resources Inc,USA,NYSE MKT,USD,Common Stock,US9616842061
WWW,Wolverine World Wide Inc,USA,NYSE,USD,Common Stock,US9780971035
WY,Weyerhaeuser Company,USA,NYSE,USD,Common Stock,US9621661043
WYY,Widepoint C,USA,NYSE MKT,USD,Common Stock,US9675902095
X,United States Steel Corporation,USA,NYSE,USD,Common Stock,US9129091081
XAR,SPDR® S&P Aerospace & Defense ETF,USA,NYSE ARCA,USD,ETF,US78464A6313
XB,BondBloxx ETF Trust,USA,NYSE ARCA,USD,ETF,US09789C8047
XBB,BondBloxx ETF Trust,USA,NYSE ARCA,USD,ETF,US09789C7056
XBI,SPDR® S&P Biotech ETF,USA,NYSE ARCA,USD,ETF,US78464A8707
XBUY,Amplify ETF Trust - Amplify International Online Retail ETF,USA,NYSE ARCA,USD,ETF,US0321088702
XC,WisdomTree Emerging Markets ex-China Fund,USA,NYSE ARCA,USD,ETF,US97717Y5353
XCCC,BondBloxx ETF Trust,USA,NYSE ARCA,USD,ETF,US09789C8872
XCEM,Columbia EM Core ex-China ETF,USA,NYSE ARCA,USD,ETF,US19762B2025
XCLR,Global X S&P 500® Collar 95-110 ETF,USA,NYSE ARCA,USD,ETF,US37960A3059
XCOR,FundX ETF,USA,NYSE ARCA,USD,ETF,US3608768095
XES,SPDR® S&P Oil & Gas Equipment & Services ETF,USA,NYSE ARCA,USD,ETF,US78468R5494
XFIV,Bondbloxx ETF Trust - BondBloxx Bloomberg Five Year Target Duration US Treasury ETF,USA,NYSE ARCA,USD,ETF,US09789C8385
XFLT,XAI Octagon Floating Rate & Alternative Income Term Trust,USA,NYSE,USD,Common Stock,US98400T1060
XFLT-PA,XAI Octagon Floating Rate & Alternative Income Term Trust,USA,NYSE,USD,Preferred Stock,
XFLX,FundX Investment Trust,USA,NYSE ARCA,USD,Common Stock,
XHB,SPDR® S&P Homebuilders ETF,USA,NYSE ARCA,USD,ETF,US78464A8889
XHE,SPDR® S&P Health Care Equipment ETF,USA,NYSE ARCA,USD,ETF,US78464A5810
XHLF,Bondbloxx ETF Trust - BondBloxx Bloomberg Six Month Target Duration US Treasury ETF,USA,NYSE ARCA,USD,ETF,US09789C7882
XHR,Xenia Hotels & Resorts Inc,USA,NYSE,USD,Common Stock,US9840171030
XHS,SPDR® S&P Health Care Services ETF,USA,NYSE ARCA,USD,ETF,US78464A5737
XHYC,BondBloxx ETF Trust,USA,NYSE ARCA,USD,ETF,US09789C1018
XHYD,BondBloxx ETF Trust,USA,NYSE ARCA,USD,ETF,US09789C2008
XHYE,BondBloxx ETF Trust,USA,NYSE ARCA,USD,ETF,US0978901074
XHYF,BondBloxx ETF Trust,USA,NYSE ARCA,USD,ETF,US09789C3097
XHYH,BondBloxx ETF Trust,USA,NYSE ARCA,USD,ETF,US09789C4087
XHYI,BondBloxx ETF Trust,USA,NYSE ARCA,USD,ETF,US09789C6066
XHYT,BondBloxx ETF Trust,USA,NYSE ARCA,USD,ETF,US09789C5076
XIN,Xinyuan Real Estate Co Ltd,USA,NYSE,USD,Common Stock,US98417P1057
XITK,SPDR® FactSet Innovative Technology ETF,USA,NYSE ARCA,USD,ETF,US78464A1108
XLB,Materials Select Sector SPDR® Fund,USA,NYSE ARCA,USD,ETF,US81369Y1001
XLC,Communication Services Select Sector SPDR® Fund,USA,NYSE ARCA,USD,ETF,US81369Y8527
XLE,Energy Select Sector SPDR® Fund,USA,NYSE ARCA,USD,ETF,US81369Y5069
XLF,Financial Select Sector SPDR® Fund,USA,NYSE ARCA,USD,ETF,US81369Y6059
XLG,Invesco S&P 500® Top 50 ETF,USA,NYSE ARCA,USD,ETF,US46137V2337
XLI,Industrial Select Sector SPDR® Fund,USA,NYSE ARCA,USD,ETF,US81369Y7040
XLK,Technology Select Sector SPDR® Fund,USA,NYSE ARCA,USD,ETF,US81369Y8030
XLP,Consumer Staples Select Sector SPDR® Fund,USA,NYSE ARCA,USD,ETF,US81369Y3080
XLRE,The Real Estate Select Sector SPDR Fund,USA,NYSE ARCA,USD,ETF,US81369Y8600
XLSR,SPDR® SSGA U.S. Sector Rotation ETF,USA,NYSE ARCA,USD,ETF,US78470P4081
XLU,Utilities Select Sector SPDR® Fund,USA,NYSE ARCA,USD,ETF,US81369Y8865
XLV,Health Care Select Sector SPDR® Fund,USA,NYSE ARCA,USD,ETF,US81369Y2090
XLY,Consumer Discretionary Select Sector SPDR® Fund,USA,NYSE ARCA,USD,ETF,US81369Y4070
XME,SPDR® S&P Metals and Mining ETF,USA,NYSE ARCA,USD,ETF,US78464A7550
XMHQ,Invesco S&P MidCap Quality ETF,USA,NYSE ARCA,USD,ETF,US46137V4721
XMLV,Invesco S&P MidCap Low Volatility ETF,USA,NYSE ARCA,USD,ETF,US46138E1982
XMMO,Invesco S&P MidCap Momentum ETF,USA,NYSE ARCA,USD,ETF,US46137V4648
XMVM,Invesco S&P MidCap Value with Momentum ETF,USA,NYSE ARCA,USD,ETF,US46137V4564
XNAV,FundX Aggressive ETF,USA,NYSE ARCA,USD,ETF,US3608768822
XNTK,SPDR Morgan Stanley Technology,USA,NYSE ARCA,USD,ETF,US78464A1025
XOM,Exxon Mobil Corp,USA,NYSE,USD,Common Stock,US30231G1022
XOMO,Tidal Trust II,USA,NYSE ARCA,USD,ETF,US88634T4105
XONE,Bondbloxx Bloomberg One Year Target Duration US Treasury ETF,USA,NYSE ARCA,USD,ETF,US09789C8617
XOP,SPDR® S&P Oil & Gas Exploration & Production ETF,USA,NYSE ARCA,USD,ETF,US78468R5569
XOUT,GraniteShares XOUT U.S. Large Cap ETF,USA,NYSE ARCA,USD,ETF,US38747R6036
XPCKX,PIMCO California Municipal Income Fund II,USA,NYSE,USD,FUND,
XPER,Xperi Corp,USA,NYSE,USD,Common Stock,US98390M1036
XPEV,Xpeng Inc,USA,NYSE,USD,Common Stock,US98422D1054
XPH,SPDR® S&P Pharmaceuticals ETF,USA,NYSE ARCA,USD,ETF,US78464A7220
XPL,Solitario Exploration & Royalty Corp,USA,NYSE MKT,USD,Common Stock,US8342EP1070
XPND,First Trust Expanded Technology ETF,USA,NYSE ARCA,USD,ETF,US33740U8514
XPO,XPO Logistics Inc,USA,NYSE,USD,Common Stock,US9837931008
XPOF,Xponential Fitness Inc,USA,NYSE,USD,Common Stock,US98422X1019
XPP,ProShares Ultra FTSE China 50,USA,NYSE ARCA,USD,ETF,US74347X8801
XPRO,Expro Group Holdings NV,USA,NYSE,USD,Common Stock,NL0010556684
XRLV,Invesco S&P 500® ex-Rate Sensitive Low Volatility ETF,USA,NYSE ARCA,USD,ETF,US46138E3889
XRLX,FundX Investment Trust,USA,NYSE ARCA,USD,Common Stock,
XRMI,Global X S&P 500® Risk Managed Income ETF,USA,NYSE ARCA,USD,ETF,US37960A2069
XRT,SPDR® S&P Retail ETF,USA,NYSE ARCA,USD,ETF,US78464A7147
XSD,SPDR® S&P Semiconductor ETF,USA,NYSE ARCA,USD,ETF,US78464A8624
XSLV,Invesco S&P SmallCap Low Volatility ETF,USA,NYSE ARCA,USD,ETF,US46138G1022
XSMO,Invesco S&P SmallCap Momentum ETF,USA,NYSE ARCA,USD,ETF,US46137V4986
XSOE,WisdomTree Emerging Markets ex-State-Owned Enterprises Fund,USA,NYSE ARCA,USD,ETF,US97717X5784
XSVM,Invesco S&P SmallCap Value with Momentum ETF,USA,NYSE ARCA,USD,ETF,US46137V4804
XSVN,Bondbloxx ETF Trust - BondBloxx Bloomberg Seven Year Target Duration US Treasury ETF,USA,NYSE ARCA,USD,ETF,US09789C8203
XSW,SPDR® S&P Software & Services ETF,USA,NYSE ARCA,USD,ETF,US78464A5992
XTEN,Bondbloxx ETF Trust - BondBloxx Bloomberg Ten Year Target Duration US Treasury ETF,USA,NYSE ARCA,USD,ETF,US09789C8120
XTL,SPDR® S&P Telecom ETF,USA,NYSE ARCA,USD,ETF,US78464A5406
XTN,SPDR® S&P Transportation ETF,USA,NYSE ARCA,USD,ETF,US78464A5323
XTNT,Xtant Medical Holdings Inc,USA,NYSE MKT,USD,Common Stock,US98420P3082
XTR,Global X S&P 500® Tail Risk ETF,USA,NYSE ARCA,USD,ETF,US37960A1079
XTRE,Bondbloxx ETF Trust - BondBloxx Bloomberg Three Year Target Duration US Treasury ETF,USA,NYSE ARCA,USD,ETF,US09789C8468
XTWO,Bondbloxx ETF Trust - BondBloxx Bloomberg Two Year Target Duration US Treasury ETF,USA,NYSE ARCA,USD,ETF,US09789C8534
XTWY,Bondbloxx ETF Trust - BondBloxx Bloomberg Twenty Year Target Duration US Treasury ETF,USA,NYSE ARCA,USD,ETF,US09789C7965
XWEB,SPDR® S&P Internet ETF,USA,NYSE ARCA,USD,ETF,US78468R1279
XYF,X Financial Class A,USA,NYSE,USD,Common Stock,US98372W2026
XYL,Xylem Inc,USA,NYSE,USD,Common Stock,US98419M1009
XYLD,Global X S&P 500® Covered Call ETF,USA,NYSE ARCA,USD,ETF,US37954Y4750
XYLE,Global X Funds - Global X S&P 500 ESG Covered Call ETF,USA,NYSE ARCA,USD,ETF,US37960A6284
XYLG,Global X S&P 500® Covered Call & Growth ETF,USA,NYSE ARCA,USD,ETF,US37954Y2770
YALA,Yalla Group Ltd,USA,NYSE,USD,Common Stock,US98459U1034
YALL,God Bless America ETF,USA,NYSE ARCA,USD,ETF,US8863644626
YANG,Direxion Daily FTSE China Bear 3X Shares,USA,NYSE ARCA,USD,ETF,US25460E5217
YCBD,cbdMD Inc,USA,NYSE MKT,USD,Common Stock,US12482W1018
YCBD-PA,cbdMD Inc,USA,NYSE,USD,Preferred Stock,
YCL,ProShares Ultra Yen,USA,NYSE ARCA,USD,ETF,US74347W2706
YCS,ProShares UltraShort Yen,USA,NYSE ARCA,USD,ETF,US74347W5691
